,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Palladius,Palladius 2018,2018,swartland,0,Sadie Family,89.0,4.5,2986,South Africa
1,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2013,2013,pessac-leognan,0,Domaine de Chevalier,89.0,4.2,2835,France
2,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2020,2020,chateauneuf-du-pape,0,Château de Beaucastel,89.0,4.3,5430,France
3,Meursault 'Sous La Velle',Meursault 'Sous La Velle' 2021,2021,meursault,0,Rémi Jobard,89.0,4.2,1338,France
4,Coume Gineste Côtes Catalanes,Coume Gineste Côtes Catalanes 2018,2018,cotes-catalanes,0,Domaine Gauby,89.0,4.1,599,France
5,Châteauneuf-du-Pape Boisrenard Blanc,Châteauneuf-du-Pape Boisrenard Blanc 2019,2019,chateauneuf-du-pape,0,Domaine de Beaurenard,89.48,4.1,288,France
6,Chardonnay,Chardonnay 2018,2018,curtefranca,0,Ca' del Bosco,89.9,4.3,2965,Italia
7,Corton-Charlemagne Grand Cru,Corton-Charlemagne Grand Cru 1998,1998,corton-charlemagne,0,Pierre Bitouzet,89.95,0.0,0,France
8,Malvasia,Malvasia 2016,2016,collio-goriziano,0,Miklus,89.98,4.0,376,Italia
9,Puligny-Montrachet 1er Cru 'Les Clavaillons',Puligny-Montrachet 1er Cru 'Les Clavaillons' 2020,2020,puligny-montrachet-clavaillon,0,Jean-Louis Chavy,90.0,4.3,152,France
10,Puligny-Montrachet 1er Cru 'Les Champs-Gains',Puligny-Montrachet 1er Cru 'Les Champs-Gains' 2020,2020,puligny-montrachet-champ-gain,0,Jean-Louis Chavy,90.0,4.4,207,France
11,Chassagne-Montrachet 1er Cru 'Les Chenevottes',Chassagne-Montrachet 1er Cru 'Les Chenevottes' 2017,2017,chassagne-montrachet-les-chenevottes,0,Château de La Maltroye,90.0,3.9,173,France
12,Château-Chalon,Château-Chalon 2014,2014,chateau-chalon,0,Bénédicte et Stéphane Tissot,90.0,4.2,567,France
13,Chassagne-Montrachet 1er Cru 'Les Baudines',Chassagne-Montrachet 1er Cru 'Les Baudines' 2019,2019,chassagne-montrachet-les-baudines,0,Amiot Guy,90.0,4.4,176,France
14,Morey-Saint-Denis 'En La Rue de Vergy' Blanc,Morey-Saint-Denis 'En La Rue de Vergy' Blanc 2018,2018,morey-saint-denis,0,Domaine Bruno Clair,90.0,4.1,471,France
15,Puligny-Montrachet Premier Cru 'Champ Gain',Puligny-Montrachet Premier Cru 'Champ Gain' 2020,2020,puligny-montrachet-champ-gain,0,Domaine Philippe Pernot-Belicard,90.0,4.1,68,France
16,Quarts,Quarts 2020,2020,anjou,0,Domaine Belargus,90.0,4.5,134,France
17,Châteauneuf-du-Pape Blanc,Châteauneuf-du-Pape Blanc 2019,2019,chateauneuf-du-pape,0,Clos des Papes (Paul Avril),90.0,4.2,2211,France
18,Quartz,Quartz 2021,2021,vin-des-allobroges,0,Domaine des Ardoisieres,90.0,4.3,528,France
19,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2012,2012,pessac-leognan,0,Domaine de Chevalier,90.0,4.2,2835,France
20,Scharzhofberger P Riesling,Scharzhofberger P Riesling 2022,2022,wiltingen,0,Van Volxem,89.0,4.2,731,Deutschland
21,Pouilly-Vinzelles 'Les Longeays',Pouilly-Vinzelles 'Les Longeays' 2013,2013,pouilly-vinzelles,0,Domaine Thibert,90.0,4.0,274,France
22,La Grande Côte Sancerre,La Grande Côte Sancerre 2009,2009,sancerre,0,François Cotat,90.0,4.3,984,France
23,Meursault 'Les Grands Charrons',Meursault 'Les Grands Charrons' 2016,2016,meursault,0,Michel Bouzereau,90.0,4.2,2216,France
24,Riesling Alsace Grand Cru 'Geisberg',Riesling Alsace Grand Cru 'Geisberg' 2012,2012,alsace-grand-cru-geisberg,0,Trimbach,89.0,4.3,347,France
25,Palladius,Palladius 2018,2018,swartland,0,Sadie Family,89.0,4.5,2986,South Africa
