,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Bordeaux,Bordeaux 2015,2015,Bordeaux,0,Château de Lavagnac,4.1,3.5,693,France
1,Graves Rouge,Graves Rouge 2011,2011,Graves,0,Château de Callac,4.5,3.7,2747,France
2,Les Blousons Noirs Malbec,Les Blousons Noirs Malbec 2020,2020,Cahors,0,Vinovalie,4.5,3.6,217,France
3,Bordeaux,Bordeaux 2015,2015,Bordeaux,0,Château Haut Bernin,4.9,3.2,268,France
4,Chateau du Barail Bordeaux,Chateau du Barail Bordeaux 2021,2021,Bordeaux,0,Les Hauts de Palette,4.9,3.3,350,France
5,Bordeaux Rouge,Bordeaux Rouge 2015,2015,Bordeaux,0,Château de Brandey,4.9,3.4,1579,France
6,Bordeaux Rouge,Bordeaux Rouge 2020,2020,Bordeaux,0,Château des Léotins,4.9,3.3,2309,France
7,Graves Rouge,Graves Rouge 2013,2013,Graves,0,Château de Callac,4.95,3.7,2747,France
8,Bordeaux,Bordeaux 2009,2009,Bordeaux,0,Château La Fleur Saint-Jean,4.95,3.5,144,France
9,4 Saisons Cabernet Sauvignon,4 Saisons Cabernet Sauvignon 2021,2021,Pays d'Oc,0,Vignerons Catalans,5.0,3.4,267,France
10,4 Saisons Merlot,4 Saisons Merlot 2021,2021,Pays d'Oc,0,Vignerons Catalans,5.0,3.6,235,France
11,Malicieuse Syrah,Malicieuse Syrah 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.05,3.2,32,France
12,To Bi or Not To Bi Merlot - Grenache,To Bi or Not To Bi Merlot - Grenache 2022,2022,Languedoc,0,Arnaud de Villeneuve,5.2,3.3,64,France
13,Bordeaux,Bordeaux 2021,2021,Bordeaux,0,Château Lacoste Garzac,5.25,3.4,1860,France
14,Bordeaux,Bordeaux 2018,2018,Bordeaux,0,Château Grand Rousseau,5.34,3.5,1174,France
15,Bordeaux Rouge,Bordeaux Rouge 2014,2014,Bordeaux,0,Marquille,5.4,2.6,103,France
16,Les Cardounettes Rouge,Les Cardounettes Rouge 2018,2018,Pays d'Oc,0,Foncalieu,5.4,3.3,507,France
17,Les Cardounettes Rouge,Les Cardounettes Rouge 2017,2017,Pays d'Oc,0,Foncalieu,5.4,3.3,507,France
18,Malbec,Malbec 2019,2019,Mendoza,0,Santa Írene,5.4,3.0,469,Argentina
19,Cuvée Collection Bordeaux,Cuvée Collection Bordeaux 2017,2017,Bordeaux,0,Seigneur de La Tour,5.4,3.1,1502,France
20,Les Ramières,Les Ramières 2020,2020,Vaucluse,0,Piaugier,5.5,3.6,80,France
21,Le Petit Balthazar Merlot,Le Petit Balthazar Merlot 2021,2021,Pays d'Oc,0,Pierrick Harang,5.5,3.1,497,France
22,Bordeaux Rouge,Bordeaux Rouge 2017,2017,Bordeaux,0,Château des Léotins,5.61,3.3,2309,France
23,Vieilles Vignes Grenache,Vieilles Vignes Grenache 2021,2021,Côtes Catalanes,0,Les Vignerons des Albères,5.65,3.8,73,France
24,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux 2017,2017,Blaye - Côtes de Bordeaux,0,Château Valentin,5.7,3.6,411,France
25,Bordeaux,Bordeaux 2020,2020,Bordeaux,0,Château Grand Rousseau,5.71,3.5,1174,France
26,Malis Rouge,Malis Rouge 2020,2020,Côtes du Roussillon,0,Abbe Rous,5.75,3.5,137,France
27,Côtes du Rhône Rouge,Côtes du Rhône Rouge 2016,2016,Côtes du Rhône,0,Domaine Martin,5.9,3.6,835,France
28,No. 7 Tannat - Merlot,No. 7 Tannat - Merlot 2018,2018,Côtes de Gascogne,0,Uby,5.9,3.6,1608,France
29,Côtes du Roussillon Rouge,Côtes du Roussillon Rouge 2022,2022,Côtes du Roussillon,0,Château Montesquieu des Albères,5.9,3.8,25,France
30,No. 7 Tannat - Merlot,No. 7 Tannat - Merlot 2022,2022,Côtes de Gascogne,0,Uby,5.9,3.6,1608,France
31,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux 2018,2018,Blaye - Côtes de Bordeaux,0,Château Valentin,5.9,3.6,411,France
32,Le Petit Clamens,Le Petit Clamens 2021,2021,Zuidwest-Frankrijk,0,Château Clamens,5.903333333333333,3.5,107,France
33,Graves Rouge,Graves Rouge 2014,2014,Graves,0,Château de Callac,5.94,3.7,2747,France
34,Les Grains Pinot Noir Cuvée Rare,Les Grains Pinot Noir Cuvée Rare 2017,2017,Vin de pays,0,Marrenon,5.99,3.5,900,France
35,Bordeaux,Bordeaux 2020,2020,Bordeaux,0,Château Gabelot,6.0,3.9,158,France
36,Gavroche Rouge,Gavroche Rouge 2021,2021,Vin de France,0,Château l'Ermite,6.0,3.8,79,France
37,Bordeaux Supérieur,Bordeaux Supérieur 2018,2018,Bordeaux Supérieur,0,Château des Graves,6.0,3.5,259,France
38,Caringole Rouge,Caringole Rouge 2021,2021,Côtes de Thongue,0,Domaine la Croix Belle,6.0,3.7,1396,France
39,Côtes de Bourg,Côtes de Bourg 2017,2017,Côtes de Bourg,0,Château Galau,6.0,3.6,615,France
40,Côtes de Bourg,Côtes de Bourg 2018,2018,Côtes de Bourg,0,Château Galau,6.0,3.6,615,France
41,Bordeaux Rouge,Bordeaux Rouge 2021,2021,Bordeaux,0,Château des Léotins,6.13,3.3,2309,France
42,Bordeaux Rouge,Bordeaux Rouge 2019,2019,Bordeaux,0,Château de l'Esperance,6.13,3.5,230,France
43,Squerda Côtes du Roussillon Villages 'Lesquerde',Squerda Côtes du Roussillon Villages 'Lesquerde' 2022,2022,Côtes du Roussillon Villages,0,Semper,6.2,3.7,259,France
44,Syrah,Syrah 2021,2021,Vin de pays,0,La Belle Angèle,6.25,3.3,1127,France
45,Vaucluse,Vaucluse 2019,2019,Vaucluse,0,Domaine des Pasquiers,6.25,3.4,334,France
46,Merlot,Merlot 2020,2020,Vin de France,0,La Belle Angèle,6.25,3.3,719,France
47,Château de Cach Cuvée Lagrave Haut-Médoc,Château de Cach Cuvée Lagrave Haut-Médoc 2018,2018,Haut-Médoc,0,Henri Musso,6.3,3.7,146,France
48,Bordeaux Supérieur Rouge,Bordeaux Supérieur Rouge 2018,2018,Bordeaux,0,Château du Juge,6.3,3.3,77,France
49,Domaine de la Garrigue Bordeaux,Domaine de la Garrigue Bordeaux 2018,2018,Bordeaux,0,Château Gros Caillou,6.3,3.0,127,France
50,Syrah - Merlot,Syrah - Merlot 2022,2022,Languedoc-Roussillon,0,Domaine Deshenrys,6.37,3.3,281,France
51,Bordeaux,Bordeaux 2019,2019,Bordeaux,0,Chateau Lamothe Castera,6.42,3.3,844,France
52,Bordeaux Rouge,Bordeaux Rouge 2021,2021,Bordeaux,0,Château Talmont,6.44,3.5,683,France
53,Bordeaux,Bordeaux 2021,2021,Bordeaux,0,Bel-Air,6.44,3.5,10195,France
54,Le Galapian,Le Galapian 2012,2012,Côtes du Marmandais,0,Château de Beaulieu,6.45,3.6,66,France
55,Saint-Mont Un Pas de Côté,Saint-Mont Un Pas de Côté 2020,2020,Saint-Mont,0,Plaimont,6.5,3.4,32,France
56,Beaujolais,Beaujolais 2020,2020,Beaujolais,0,Domaine du Gueret,6.5,3.4,99,France
57,Bordeaux Supérieur Rouge,Bordeaux Supérieur Rouge 2016,2016,Bordeaux,0,Château du Juge,6.5,3.3,77,France
58,Haut Médoc,Haut Médoc 2017,2017,Haut-Médoc,0,Château Réal,6.5,3.6,289,France
59,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux 2012,2012,Blaye - Côtes de Bordeaux,0,Château Mayne-Vallet,6.5,3.5,1340,France
60,Bordeaux Supérieur,Bordeaux Supérieur 2018,2018,Bordeaux Supérieur,0,Château Greteau Medeville,6.5,3.4,231,France
61,Bordeaux Supérieur,Bordeaux Supérieur 2014,2014,Bordeaux Supérieur,0,Château Greteau Medeville,6.5,3.4,231,France
62,Haut Médoc,Haut Médoc 2018,2018,Haut-Médoc,0,Château Réal,6.5,3.6,289,France
63,Bordeaux Supérieur,Bordeaux Supérieur 2019,2019,Bordeaux Supérieur,0,Château Fayau,6.5,3.6,698,France
64,Syrah - Merlot,Syrah - Merlot 2020,2020,Languedoc-Roussillon,0,Domaine Deshenrys,6.5,3.3,281,France
65,Encierro,Encierro 2020,2020,Vino de España,0,Les Passeurs de Vins,6.5,3.7,105,España
66,Cépage Libre Rouge,Cépage Libre Rouge 2022,2022,Méditerranée,0,Innowine,6.503333333333333,3.5,344,France
67,Le Pacha Les Eyraux Bordeaux Supérieur,Le Pacha Les Eyraux Bordeaux Supérieur 2019,2019,Bordeaux Supérieur,0,Château Les Eyraux,6.58,3.7,29,France
68,Bordeaux Rouge,Bordeaux Rouge 2016,2016,Bordeaux,0,Château Chauvet,6.6,3.3,697,France
69,Bordeaux Rouge,Bordeaux Rouge 2015,2015,Bordeaux,0,Château Chauvet,6.6,3.3,697,France
70,Saraceno Dolcetto d'Alba,Saraceno Dolcetto d'Alba 2022,2022,Dolcetto d'Alba,0,Baracco de Baracho,6.68,3.0,57,Italia
71,Bergerac,Bergerac 2015,2015,Bergerac,0,Château Lamothe Belair,6.75,3.5,545,France
72,Eléonore Bordeaux Supérieur,Eléonore Bordeaux Supérieur 2011,2011,Bordeaux Supérieur,0,Château Lajarre,6.75,3.6,2136,France
73,Bordeaux,Bordeaux 2020,2020,Bordeaux,0,Chateau Lamothe Castera,6.77,3.3,844,France
74,Bordeaux Rouge,Bordeaux Rouge 2020,2020,Bordeaux,0,Château Haut Gravelier,6.78,3.5,629,France
75,Bordeaux Supérieur,Bordeaux Supérieur 2018,2018,Bordeaux Supérieur,0,Château Chagnon,6.87,3.5,192,France
76,Tendem Rouge,Tendem Rouge 2022,2022,Pays d'Oc,0,Bruno Andreu,6.9,3.5,137,France
77,Primitivo Salento,Primitivo Salento 2021,2021,Salento,0,Caleo,6.9,3.6,14002,Italia
78,Bordeaux Supérieur,Bordeaux Supérieur 2020,2020,Bordeaux Supérieur,0,Château Reindent,6.9,3.7,170,France
79,Pinot Noir,Pinot Noir 2021,2021,Pays d'Oc,0,Côte des Roses,6.9,3.6,2101,France
80,La 4ème Corbières,La 4ème Corbières 2021,2021,Corbières,0,Sainte Marie des Crozes,6.9,3.8,230,France
81,Salice Salentino,Salice Salentino 2021,2021,Salice Salentino,0,Feudo Monaci,6.9,3.2,966,Italia
82,Ninet de Péna Rouge,Ninet de Péna Rouge 2022,2022,Côtes Catalanes,0,Château de Péna,6.9,3.5,189,France
83,Andecavum Rúbéus,Andecavum Rúbéus 2017,2017,Anjou,0,Leblanc - Domaine les Closserons,6.9,3.8,27,France
84,Primitivo,Primitivo 2021,2021,Salento,0,Feudo Monaci,6.9,3.4,4654,Italia
85,Bordeaux Supérieur,Bordeaux Supérieur 2012,2012,Bordeaux Supérieur,0,Château Mazetier,6.92,3.4,55,France
86,Les Camines Rouge,Les Camines Rouge 2022,2022,Côtes Catalanes,0,Dom Brial,6.95,3.6,342,France
87,Bordeaux Supérieur,Bordeaux Supérieur 2019,2019,Bordeaux Supérieur,0,Château Lesparre,6.996666666666667,3.5,733,France
88,Cuvée Prestige Rouge,Cuvée Prestige Rouge 2021,2021,Pays d'Oc,0,Les Vignerons du Sommiérois,7.0,3.6,44,France
89,Faugères,Faugères 2019,2019,Faugères,0,Domaine des Lentillières,7.0,3.3,29,France
90,L'Usufruit Clos du Notaire,L'Usufruit Clos du Notaire 2020,2020,Côtes de Bourg,0,Château le Clos du Notaire,7.0,3.5,29,France
91,La Fillette du Petit Méric Médoc,La Fillette du Petit Méric Médoc 2016,2016,Médoc,0,Château Meric,7.0,3.8,35,France
92,Capella,Capella 2014,2014,Ventoux,0,Marrenon,7.02,3.7,453,France
93,Terre d'Ocres Rouge,Terre d'Ocres Rouge 2010,2010,Ventoux,0,Domaine de Tara,7.02,3.5,459,France
94,Gardian Grande Réserve Cabernet - Merlot,Gardian Grande Réserve Cabernet - Merlot 2021,2021,Coteaux de Béziers,0,Alma Cersius,7.031666666666666,3.6,419,France
95,Bordeaux,Bordeaux 2018,2018,Bordeaux,0,Malpertuis,7.04,3.2,43,France
96,6ème Sens Rouge,6ème Sens Rouge 2021,2021,Pays d'Oc,0,Gérard Bertrand,7.04,3.4,2770,France
97,Cabernet - Merlot,Cabernet - Merlot 2020,2020,Rubicone,0,É Gòt,7.1,3.5,142,Italia
98,Tinto,Tinto 2017,2017,Jumilla,0,Olivares,7.11,3.5,861,España
99,Graves Rouge,Graves Rouge 2014,2014,Graves,0,Château Bousquet,7.11,3.6,549,France
100,Cuvée des Chartreux Belle Emilie Rouge,Cuvée des Chartreux Belle Emilie Rouge 2022,2022,Gard,0,Cellier des Chartreux,7.2,3.4,893,France
101,Bordeaux Rouge,Bordeaux Rouge 2019,2019,Bordeaux,0,Château Morillon,7.2,3.3,737,France
102,Côtes du Rhône Rouge,Côtes du Rhône Rouge 2020,2020,Côtes du Rhône,0,Domaine Le Colombier,7.2,3.5,116,France
103,Baby del Rey,Baby del Rey 2021,2021,Côtes du Roussillon Villages,0,Clos del Rey,7.25,3.6,42,France
104,Le Chapitre Pinot Noir,Le Chapitre Pinot Noir 2021,2021,Het Loiredal,0,Réthoré Davy,7.296666666666667,3.4,500,France
105,Merlot,Merlot 2022,2022,Pays d'Oc,0,Les Jamelles,7.3,3.5,4596,France
106,L'Infini Rouge,L'Infini Rouge 2022,2022,Côtes Catalanes,0,Domaine du Paradis,7.3,3.5,125,France
107,Grenache Rouge,Grenache Rouge 2021,2021,Pays d'Oc,0,Les Jamelles,7.3,3.8,1065,France
108,Vaucluse,Vaucluse 2020,2020,Vaucluse,0,Domaine des Pasquiers,7.3,3.4,334,France
109,Tiberius Rouge,Tiberius Rouge 2021,2021,Pays d'Oc,0,Les Vignerons du Sommiérois,7.3,3.2,162,France
110,Côtes-du-Rhône,Côtes-du-Rhône 2017,2017,Côtes du Rhône,0,Les Goubert,7.38,3.4,165,France
111,Le Merlot de Château Sainte Barbe Bordeaux,Le Merlot de Château Sainte Barbe Bordeaux 2015,2015,Bordeaux,0,Jean Fleury,7.4,3.6,287,France
112,Malbec,Malbec 2021,2021,Pays d'Oc,0,Les Jamelles,7.4,4.0,3321,France
113,Beaujolais Villages Rouge,Beaujolais Villages Rouge 2016,2016,Beaujolais-Villages,0,Colette & Léon,7.42,3.6,31,France
114,Sang Mêlé,Sang Mêlé 2021,2021,Zuidwest-Frankrijk,0,Vinovalie,7.45,4.1,2882,France
115,L'Élegance Blaye - Côtes de Bordeaux,L'Élegance Blaye - Côtes de Bordeaux 2021,2021,Blaye - Côtes de Bordeaux,0,Château du Haut Guérin,7.48,3.6,58,France
116,Bordeaux,Bordeaux 2019,2019,Bordeaux,0,Château Roc de Minvielle,7.49,3.3,692,France
117,Bordeaux,Bordeaux 2019,2019,Bordeaux,0,Chateau Petit Pierre,7.49,3.6,173,France
118,Tinto,Tinto 2021,2021,Vin de France,0,Domaine Elodie Balme,7.5,3.6,180,France
119,Cuvée Tradition Le Rouge,Cuvée Tradition Le Rouge 2021,2021,Côtes de Bordeaux,0,Château Vieille Tour,7.5,3.6,30,France
120,Zangre Rouge,Zangre Rouge 2021,2021,Pays d'Oc,0,Famille Cros Pujol,7.5,3.4,123,France
121,Cabernet Sauvignon - Merlot,Cabernet Sauvignon - Merlot 2021,2021,Côtes Catalanes,0,Lauriga,7.5,3.8,44,France
122,Côtes-du-Rhône Rouge,Côtes-du-Rhône Rouge 2021,2021,Côtes du Rhône,0,Domaine Montmartel,7.5,4.0,697,France
123,Nomad Feteasca Neagra,Nomad Feteasca Neagra 2018,2018,Dealu Mare,0,Aurelia Visinescu,7.5,3.3,2117,România
124,Bordeaux Supérieur,Bordeaux Supérieur 2014,2014,Bordeaux Supérieur,0,Château de la Cour d'Argent,7.5,3.5,2447,France
125,Cuvée Courrèges Bordeaux Supérieur,Cuvée Courrèges Bordeaux Supérieur 2015,2015,Bordeaux Supérieur,0,Château Brespaillan,7.54,4.2,35,France
126,Syrah,Syrah 2020,2020,Pays d'Oc,0,Les Jamelles,7.55,3.8,8163,France
127,Syrah,Syrah 2021,2021,Pays d'Oc,0,Les Jamelles,7.55,3.8,8163,France
128,Bordeaux,Bordeaux 2017,2017,Bordeaux,0,Château Chillac,7.56,3.5,350,France
129,Les Darons Rouge,Les Darons Rouge 2021,2021,Languedoc,0,Jeff Carrel,7.56,3.8,19560,France
130,Bordeaux,Bordeaux 2020,2020,Bordeaux,0,Château Pasquier,7.58,4.0,83,France
131,Cabaletta Rosso delle Venezie,Cabaletta Rosso delle Venezie 2020,2020,delle Venezie,0,Tenute Fiorebelli,7.58,3.9,3881,Italia
132,Cabernet Sauvignon,Cabernet Sauvignon 2021,2021,Pays d'Oc,0,Les Vignerons du Sommiérois,7.6,3.0,48,France
133,Merlot,Merlot 2020,2020,Pays d'Oc,0,Les Vignerons du Sommiérois,7.6,2.5,26,France
134,Syrah - Merlot Méditerranée,Syrah - Merlot Méditerranée 2021,2021,Méditerranée,0,La Bastide Saint Dominique,7.6,3.5,80,France
135,Côtes du Rhône,Côtes du Rhône 2021,2021,Côtes du Rhône,0,Domaine de l'Olivier,7.6,3.7,371,France
136,Sinequano,Sinequano 2022,2022,Minervois,0,Cailhol Gautran,7.6,3.6,183,France
137,Nero d'Avola,Nero d'Avola 2021,2021,Terre Siciliane,0,Monte Pietroso,7.6,3.6,1653,Italia
138,Côtes du Rhône,Côtes du Rhône 2022,2022,Côtes du Rhône,0,Domaine de l'Olivier,7.6,3.7,371,France
139,Bordeaux,Bordeaux 2018,2018,Bordeaux,0,Château Verthamon,7.63,3.4,115,France
140,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo 2020,2020,Montepulciano d’Abruzzo,0,Vinuva,7.7,3.1,518,Italia
141,100 Pour 100,100 Pour 100 2022,2022,Agenais,0,Domaine de Quissat,7.7,3.8,196,France
142,Collection Grenache,Collection Grenache 2021,2021,Pays d'Oc,0,Gayda,7.7,3.5,229,France
143,La Devèze Côtes du Rhône,La Devèze Côtes du Rhône 2020,2020,Côtes du Rhône,0,Dionysos,7.7,3.7,1191,France
144,Cabernet Sauvignon,Cabernet Sauvignon 2021,2021,Pays d'Oc,0,Les Jamelles,7.75,3.6,4668,France
145,Côtes de Bourg,Côtes de Bourg 2019,2019,Côtes de Bourg,0,Château Tayac,7.76,3.5,650,France
146,Bordeaux,Bordeaux 2020,2020,Bordeaux,0,Château Roc de Minvielle,7.77,3.3,692,France
