,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Vino Nobile di Montepulciano Riserva,Vino Nobile di Montepulciano Riserva 2018,2018,Vino Nobile di Montepulciano,0,Crociani,25.25,4.0,2001,Italia
1,Rosso Dei Notri Toscana,Rosso Dei Notri Toscana 2019,2019,Toscane,0,Tua Rita,25.25,3.8,7781,Italia
2,Châteauneuf-du-Pape Reserve,Châteauneuf-du-Pape Reserve 2020,2020,Châteauneuf-du-Pape,0,Cellier des Princes,25.25,3.8,463,France
3,Tinto,Tinto 2019,2019,Douro,0,Quinta da Pedra Escrita,25.25,4.1,1058,Portugal
4,Nebbiolo Langhe,Nebbiolo Langhe 2018,2018,Langhe,0,Oddero,25.25,3.8,3622,Italia
5,Old Vines Primitivo di Manduria,Old Vines Primitivo di Manduria 2019,2019,Primitivo di Manduria,0,Luccarelli,25.25,4.4,20955,Italia
6,Diamond Collection Zinfandel,Diamond Collection Zinfandel 2019,2019,Californië,0,Francis Ford Coppola Winery,25.28,3.8,11973,United States
7,Chianti Classico Riserva,Chianti Classico Riserva 2018,2018,Chianti Classico,0,Tenuta Perano,25.28,4.0,371,Italia
8,Diamond Collection Cabernet Sauvignon,Diamond Collection Cabernet Sauvignon 2019,2019,Californië,0,Francis Ford Coppola Winery,25.28,3.9,56139,United States
9,Pinot Nero,Pinot Nero 2018,2018,Trentino,0,Vallarom,25.28,3.8,437,Italia
10,Perbruno,Perbruno 2015,2015,Toscane,0,I Giusti & Zanza,25.3,4.0,1247,Italia
11,Schioppettino,Schioppettino 2018,2018,Colli Orientali del Friuli,0,Colli di Poianis,25.3,3.5,316,Italia
12,Chateau Bonadona Ventoux,Chateau Bonadona Ventoux 2018,2018,Ventoux,0,Cave Terra Ventoux,25.3,3.9,254,France
13,Negru de Purcari,Negru de Purcari 2020,2020,Zuidoostelijk,0,Château Purcari,25.356666666666666,4.4,9390,Moldova
14,Phigaia (After The Red),Phigaia (After The Red) 2020,2020,Montello e Colli Asolani,0,Serafini & Vidotto,25.38,4.0,5222,Italia
15,Notte a San Martino,Notte a San Martino 2018,2018,Benaco Bresciano,0,Olivini,25.38,4.2,1966,Italia
16,Saint-Joseph,Saint-Joseph 2021,2021,Saint-Joseph,0,Domaine Christophe Pichon,25.4,4.0,1905,France
17,Gigondas,Gigondas 2020,2020,Gigondas,0,Domaine du Pradas,25.4,4.0,331,France
18,Avalanche de Printemps,Avalanche de Printemps 2021,2021,Fleurie,0,Marc Delienne,25.4,3.9,699,France
19,Calcinaires Rouge,Calcinaires Rouge 2017,2017,Côtes Catalanes,0,Domaine Gauby,25.4,3.7,2533,France
20,Vignalet Pinot Nero Vallagarina,Vignalet Pinot Nero Vallagarina 2020,2020,Vallagarina,0,La Cadalora,25.48,3.9,221,Italia
21,Nebbiolo Langhe Ginestrino,Nebbiolo Langhe Ginestrino 2021,2021,Langhe,0,Conterno Fantino,25.48,3.8,4231,Italia
22,Spätburgunder Trocken,Spätburgunder Trocken 2020,2020,Rheingau,0,Kloster Eberbach,25.48,3.4,1739,Deutschland
23,I Montali,I Montali 2018,2018,Bolgheri,0,Enrico Santini,25.48,3.9,471,Italia
24,Saint-Joseph Silice,Saint-Joseph Silice 2018,2018,Saint-Joseph,0,Coursodon,25.5,4.0,3966,France
25,La Chiesa  Barbera d'Alba,La Chiesa  Barbera d'Alba 2019,2019,Barbera d’Alba,0,Seghesio,25.58,4.0,243,Italia
26,Cabernet Sauvignon Palazzotto,Cabernet Sauvignon Palazzotto 2018,2018,Breganze,0,Maculan,25.58,3.8,1670,Italia
27,Nenfro,Nenfro 2015,2015,Civitella d'Agliano,0,Sergio Mottura,25.58,3.7,125,Italia
28,Rosso di Montalcino,Rosso di Montalcino 2019,2019,Toscane,0,Uccelliera,25.6,3.9,3085,Italia
29,Pauillac,Pauillac 2011,2011,Pauillac,0,Château Haut de La Becade,25.6,4.0,2135,France
30,Margaux,Margaux 2017,2017,Margaux,0,Château de Clairefont,25.6,3.9,701,France
31,Nebbiolo Langhe,Nebbiolo Langhe 2018,2018,Langhe,0,Azelia,25.6,3.7,1804,Italia
32,Montagne-Saint-Émilion,Montagne-Saint-Émilion 2019,2019,Montagne-Saint-Émilion,0,Château Bonneau,25.6,3.9,603,France
33,A Mont Langhe Nebbiolo,A Mont Langhe Nebbiolo 2016,2016,Langhe,0,Paolo Conterno,25.6,3.8,1399,Italia
34,Rosso di Montalcino,Rosso di Montalcino 2020,2020,Rosso di Montalcino,0,Le Ragnaie,25.6,4.0,3622,Italia
35,Grande Cuvée,Grande Cuvée 2020,2020,Languedoc-Roussillon,0,Mas Laval,25.6,4.0,669,France
36,Re di Ras Rosso Piceno,Re di Ras Rosso Piceno 2015,2015,Rosso Piceno,0,Tenute Pieralisi,25.63,4.1,92,Italia
37,Pessac-Léognan,Pessac-Léognan 2020,2020,Pessac-Léognan,0,Château d'Eyran,25.64,4.0,1757,France
38,Haut-Médoc,Haut-Médoc 2020,2020,Haut-Médoc,0,Château Clement-Pichon,25.65,3.9,4841,France
39,Domaine des Sabines Lalande de Pomerol,Domaine des Sabines Lalande de Pomerol 2013,2013,Lalande-de-Pomerol,0,Thunevin,25.65,4.0,854,France
40,Haut-Médoc,Haut-Médoc 2007,2007,Haut-Médoc,0,Château Clement-Pichon,25.65,3.9,4841,France
41,Saint-Estèphe,Saint-Estèphe 2020,2020,Saint-Estèphe,0,Château Lilian Ladouys,25.65,3.9,16284,France
42,Il Gentile di Casanova,Il Gentile di Casanova 2019,2019,Toscane,0,La Spinetta,25.65,3.9,1128,Italia
43,Amarone della Valpolicella Classico,Amarone della Valpolicella Classico 2019,2019,Amarone della Valpolicella Classico,0,Cantina di Negrar,25.66,4.0,18079,Italia
44,Pico Gonzaga,Pico Gonzaga 2016,2016,Barbera del Monferrato Superiore,0,Castello di Uviglie,25.68,3.9,412,Italia
45,Sandro Fay Costa Bassa Valtellina Superiore,Sandro Fay Costa Bassa Valtellina Superiore 2020,2020,Valtellina Superiore,0,Società Agricola Fay,25.68,3.8,2049,Italia
46,Lindin,Lindin 2017,2017,Colli Tortonesi,0,Marina Coppi,25.68,3.8,99,Italia
47,Tinto Roble,Tinto Roble 2020,2020,Ribera del Duero,0,Lopez Cristobal,25.68,3.7,3029,España
48,L’Altro Io,L’Altro Io 2010,2010,Todi,0,Peppucci,25.68,4.1,272,Italia
49,Vino Nobile di Montepulciano,Vino Nobile di Montepulciano 2015,2015,Vino Nobile di Montepulciano,0,Palazzo Vecchio,25.68,3.8,264,Italia
50,Vieilles Vignes Haut-Médoc,Vieilles Vignes Haut-Médoc 2009,2009,Haut-Médoc,0,Château Bertrand Braneyre,25.7,3.9,2882,France
51,Juliénas 'La Bottière',Juliénas 'La Bottière' 2020,2020,Juliénas,0,Bret Brothers,25.7,3.9,45,France
52,Calonga,Calonga 2020,2020,Provincia di Pavia,0,Azienda Agricola Bisi,25.7,3.8,109,Italia
53,Le Cornevent Bourgogne Pinot Noir,Le Cornevent Bourgogne Pinot Noir 2021,2021,Bourgogne,0,Château du Cray,25.7,3.8,332,France
54,Nobile di Montepulciano,Nobile di Montepulciano 2019,2019,Vino Nobile di Montepulciano,0,Salcheto,25.7,4.0,12346,Italia
55,Storia Di Ecce Fructus,Storia Di Ecce Fructus 2021,2021,Vin de France,0,Clos Culombu,25.7,4.1,140,France
56,Bolgheri Rosso,Bolgheri Rosso 2017,2017,Bolgheri,0,Le Macchiole,25.7,4.0,18953,Italia
57,Toscana,Toscana 2021,2021,Toscane,0,Canaiolo,25.7,3.7,33,Italia
