,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
0,Tempranillo Rosé,Tempranillo Rosé 2018,2018,La Mancha,0,Camina,4.5,3.3,177
1,4 Saisons Cabernet Rosé,4 Saisons Cabernet Rosé 2022,2022,Pays d'Oc,0,Vignerons Catalans,5.0,3.4,119
2,To Bi Or Not To Bi Rosé,To Bi Or Not To Bi Rosé 2022,2022,Côtes Catalanes,0,Arnaud de Villeneuve,5.2,3.3,34
3,Malis Rosé,Malis Rosé 2022,2022,Côtes du Roussillon,0,Abbe Rous,5.75,3.0,60
4,Prémices Rosé,Prémices Rosé 2022,2022,Côtes Catalanes,0,Deprade Jorda,5.9,3.5,62
5,Bordeaux Rosé,Bordeaux Rosé 2021,2021,Bordeaux,0,Château de l'Esperance,5.93,3.6,34
6,Le Coq & L'Arlequin,Le Coq & L'Arlequin 2022,2022,Pays d'Oc,0,Maison Le Jeune,6.0,4.1,63
7,Caringole Rosé,Caringole Rosé 2021,2021,Côtes de Thongue,0,Domaine la Croix Belle,6.0,3.8,688
8,No. 6 Rosé,No. 6 Rosé 2022,2022,Côtes de Gascogne,0,Uby,6.2,3.8,843
9,Cuvée Prestige Bordeaux Clairet,Cuvée Prestige Bordeaux Clairet 2020,2020,Bordeaux Clairet,0,Malpertuis,6.33,3.3,29
10,Grenache - Sangiovese Rosé,Grenache - Sangiovese Rosé 2022,2022,Côtes de Thongue,0,Domaine Deshenrys,6.5,3.4,42
11,Roséfine,Roséfine 2022,2022,Méditerranée,0,Marrenon,6.5,3.6,487
12,Rosé,Rosé 2020,2020,Bordeaux,0,Château Vermont,6.5,3.9,76
13,Cuvée Tibérius Rosé,Cuvée Tibérius Rosé 2022,2022,Vin de France,0,Les Vignerons du Sommiérois,6.9,3.2,33
14,Grenache - Syrah Rosé,Grenache - Syrah Rosé 2022,2022,Pays d'Oc,0,Domaine Les Prunelles,6.9,3.8,57
15,Gourmandise Rosé,Gourmandise Rosé 2022,2022,Méditerranée,0,Les Mâitres Vignerons de la Presqu'île de Saint-Tropez,6.9,3.7,428
16,Les Camines Rosé,Les Camines Rosé 2022,2022,Côtes Catalanes,0,Dom Brial,6.95,3.6,51
17,Côtes De Gascogne Rosé De Pressée,Côtes De Gascogne Rosé De Pressée 2022,2022,Côtes de Gascogne,0,Domaine du Tariquet,7.1,3.5,1694
18,Crazy Rosé,Crazy Rosé 2022,2022,Côtes de Provence,0,Domaine Tropez,7.1,3.8,1657
19,Pinot Grigio Rosé,Pinot Grigio Rosé 2021,2021,Provincia di Pavia,0,Folonari,7.1,3.6,103
20,Cuvée des Chartreux Belle Emilie Rosé,Cuvée des Chartreux Belle Emilie Rosé 2022,2022,Gard,0,Cellier des Chartreux,7.3,3.4,304
21,Le Gris Rosé,Le Gris Rosé 2022,2022,Côtes Catalanes,0,Lauriga,7.4,3.8,94
22,Cabardès Rosé,Cabardès Rosé 2022,2022,Cabardès,0,Château de Pennautier,7.5,3.6,246
23,Zangre Rosé,Zangre Rosé 2022,2022,Pays d'Oc,0,Famille Cros Pujol,7.5,3.7,53
