,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings,country
0,Blanc,Blanc 2018,2018,bergerac,0,Château Le Perrou,3.95,3.5,25,France
1,Colombard - Ugni Blanc,Colombard - Ugni Blanc 2022,2022,cotes-de-gascogne,0,Château de Millet,4.49,3.6,748,France
2,Entre-deux-Mers,Entre-deux-Mers 2022,2022,entre-deux-mers,0,Château des Léotins,4.5,3.6,415,France
3,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2018,2018,cotes-de-gascogne,0,Domaine du Tariquet,4.77,3.5,12007,France
4,Bordeaux Blanc,Bordeaux Blanc 2014,2014,bordeaux,0,Château Boisson,4.9,3.8,190,France
5,Malicieuse Grenache Blanc,Malicieuse Grenache Blanc 2022,2022,cotes-catalanes,0,Les Vignerons des Albères,5.05,3.8,90,France
6,Muscat Sec,Muscat Sec 2022,2022,cotes-catalanes,0,Les Vignerons des Albères,5.05,3.6,68,France
7,To Bi Or Not To Bi Macabeu - Grenache,To Bi Or Not To Bi Macabeu - Grenache 2022,2022,cotes-catalanes,0,Arnaud de Villeneuve,5.2,3.3,35,France
8,Bordeaux Blanc,Bordeaux Blanc 2017,2017,bordeaux,0,Château Roquefort,5.4,3.6,563,France
9,Les Bastions Blanc,Les Bastions Blanc 2019,2019,saint-mont,0,Plaimont,5.4,3.6,58,France
10,Bordeaux Blanc,Bordeaux Blanc 2022,2022,bordeaux,0,Château Greteau Medeville,5.5,3.6,41,France
11,Bordeaux Blanc,Bordeaux Blanc 2021,2021,bordeaux,0,Château Boisson,5.5,3.8,190,France
12,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2022,2022,vin-de-pays-doc,0,Pierrick Harang,5.5,3.6,860,France
13,4 Saisons Chardonnay,4 Saisons Chardonnay 2022,2022,cotes-catalanes,0,Vignerons Catalans,5.6,3.7,233,France
14,Chardonnay,Chardonnay 2022,2022,cotes-catalanes,0,Les Vignerons des Albères,5.6,3.6,111,France
15,Bordeaux Blanc,Bordeaux Blanc 2019,2019,bordeaux,0,Château Saint-Florin,5.7,3.4,396,France
16,Graves Blanc,Graves Blanc 2016,2016,graves,0,Château Bousquet,5.76,3.4,52,France
17,Amountanage Blanc,Amountanage Blanc 2018,2018,luberon,0,Marrenon,5.85,3.6,265,France
18,Chardonnay,Chardonnay 2019,2019,mendoza,0,Los Medanos,5.88,3.3,191,Argentina
19,Blanc Fruité,Blanc Fruité 2021,2021,southwest,0,Demon Noir,5.9,3.7,223,France
20,Prémices Muscat Sec,Prémices Muscat Sec 2022,2022,cotes-catalanes,0,Deprade Jorda,5.9,3.8,32,France
21,Prémices Chardonnay,Prémices Chardonnay 2022,2022,cotes-catalanes,0,Deprade Jorda,5.9,3.4,38,France
22,Esprit de Sérame Chardonnay,Esprit de Sérame Chardonnay 2015,2015,vin-de-pays-doc,0,Chateau de Sérame,5.94,3.3,192,France
23,Varietal Range Chardonnay,Varietal Range Chardonnay 2010,2010,south-eastern,0,Hardys,5.95,3.2,2617,Australia
24,No. 3 Colombard - Sauvignon,No. 3 Colombard - Sauvignon 2022,2022,cotes-de-gascogne,0,Uby,5.95,4.0,11266,France
25,Les Grains Chardonnay,Les Grains Chardonnay 2018,2018,vin-de-pays-de-mediterranee,0,Marrenon,6.0,3.6,623,France
26,Bordeaux Blanc,Bordeaux Blanc 2021,2021,bordeaux,0,Château Bellevue Chollet,6.0,3.2,36,France
27,Entre-deux-Mers,Entre-deux-Mers 2021,2021,entre-deux-mers,0,Château Gabelot,6.0,3.8,93,France
28,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2020,2020,vin-de-pays-doc,0,Pierrick Harang,6.0,3.6,860,France
29,Entre-deux-Mers,Entre-deux-Mers 2022,2022,entre-deux-mers,0,Château Gabelot,6.0,3.8,93,France
30,Bordeaux Sauvignon,Bordeaux Sauvignon 2016,2016,bordeaux,0,Château Sainte Catherine,6.0,3.1,110,France
