,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
0,Forst Village Riesling,Forst Village Riesling 2021,2021,De Palts,0,Dr. Bürklin-Wolf,41.78,4.0,55
1,Clos Cancaillau Au Lavoir Jurançon Sec,Clos Cancaillau Au Lavoir Jurançon Sec 2020,2020,Jurançon,0,Lionel Osmin & Cie,41.8,4.3,202
2,Chardonnay Langhe Bastia,Chardonnay Langhe Bastia 2021,2021,Langhe,0,Conterno Fantino,41.8,4.1,1395
3,Burg Layer Hölle Riesling,Burg Layer Hölle Riesling 2020,2020,Nahe,0,Diel,41.88,3.9,72
4,Gewürztraminer Macération,Gewürztraminer Macération 2021,2021,Elzas,0,Pierre Frick,41.88,4.1,899
5,Chablis Premier Cru 'Fourchaume',Chablis Premier Cru 'Fourchaume' 2021,2021,Chablis Premier Cru,0,Louis Jadot,41.9,4.1,1442
6,Condrieu,Condrieu 2020,2020,Condrieu,0,E. Guigal,41.9,4.0,7954
7,Saint-Aubin Blanc,Saint-Aubin Blanc 2018,2018,Saint-Aubin,0,Louis Jadot,41.94,4.1,968
8,Carlaz Bianco,Carlaz Bianco 2019,2019,Ligurië,0,Primaterra,41.98,3.9,326
9,Cinque Terre,Cinque Terre 2022,2022,Cinque Terre,0,Forlini Cappellini,41.98,4.0,1318
10,Carlaz Bianco,Carlaz Bianco 2020,2020,Ligurië,0,Primaterra,41.98,3.9,326
11,Gewürztraminer Vigna Kastelaz,Gewürztraminer Vigna Kastelaz 2021,2021,Südtirol - Alto Adige,0,Elena Walch,41.98,4.2,2436
12,Riserva Nova Domus Terlaner,Riserva Nova Domus Terlaner 2020,2020,Südtirol - Alto Adige,0,Terlan (Terlano),41.98,4.3,5279
13,Chablis,Chablis 2021,2021,Chablis,0,Domaine Christophe Camu,42.0,3.7,421
14,Corse Figari Blanc,Corse Figari Blanc 2022,2022,Corse Figari,0,Clos Canarelli,42.0,3.9,545
15,HVD Single Vineyard Sémillon,HVD Single Vineyard Sémillon 2016,2016,Hunter Valley,0,Tyrrell's,42.0,3.9,981
16,Monts Damnés Sancerre,Monts Damnés Sancerre 2019,2019,Sancerre,0,Gérard Boulay,42.0,4.2,1053
17,Châteauneuf-du-Pape La Bernardine Blanc,Châteauneuf-du-Pape La Bernardine Blanc 2021,2021,Châteauneuf-du-Pape,0,M. Chapoutier,42.0,4.0,1173
18,Pouilly-Fuissé Sur La Roche,Pouilly-Fuissé Sur La Roche 2019,2019,Pouilly-Fuissé,0,Merlin,42.0,4.1,211
19,Saint-Joseph Lieu-Dit Blanc,Saint-Joseph Lieu-Dit Blanc 2021,2021,Saint-Joseph,0,E. Guigal,42.0,4.1,859
20,Saint-Aubin 1er Cru 'Sur Gamay',Saint-Aubin 1er Cru 'Sur Gamay' 2021,2021,Saint-Aubin 1er Cru 'Sur Gamay',0,Bertrand Bachelet,42.0,4.2,30
21,Bourgogne Blanc,Bourgogne Blanc 2018,2018,Bourgogne,0,Château de La Maltroye,42.0,3.9,99
22,Beaune 1er Cru 'Les Aigrots' Blanc,Beaune 1er Cru 'Les Aigrots' Blanc 2020,2020,Beaune 1er Cru 'Les Aigrots',0,Sébastien Magnien,42.0,4.1,268
23,Saint-Aubin 1er Cru 'Sous Roche Dumay',Saint-Aubin 1er Cru 'Sous Roche Dumay' 2020,2020,Saint-Aubin 1er Cru 'Sous Roche Dumay',0,Domaine Françoise & Denis Clair,42.0,4.1,208
24,Grüner Veltliner Reserve Käferberg,Grüner Veltliner Reserve Käferberg 2008,2008,Kamptal,0,Weingut Bründlmayer,42.0,3.9,550
25,Les Creuzettes Pouilly-Fuissé,Les Creuzettes Pouilly-Fuissé 2021,2021,Pouilly-Fuissé,0,Jacques & Nathalie Saumaize,42.08,4.0,126
26,Blanc Tradition Côtes du Jura,Blanc Tradition Côtes du Jura 2018,2018,Côtes du Jura,0,Château d'Arlay,42.08,3.9,1337
27,Albina,Albina 2019,2019,Gambellara,0,Menti Giovanni,42.18,3.9,251
28,Groenlandberg Chardonnay,Groenlandberg Chardonnay 2021,2021,Elgin,0,Oak Valley,42.24,4.2,502
29,Riesling Grand Cru 'Wiebelsberg',Riesling Grand Cru 'Wiebelsberg' 2017,2017,Alsace Grand Cru 'Wiebelsberg',0,Rémy Gresser,42.38,3.8,164
30,Chablis Premier Cru 'La Fourchaume',Chablis Premier Cru 'La Fourchaume' 2021,2021,Chablis 1er Cru 'Fourchaume',0,Jean-Claude et Romain Bessin-Tremblay,42.5,4.1,703
31,Berg Erste Lage Grüner Veltliner,Berg Erste Lage Grüner Veltliner 2013,2013,Traisental,0,Markus Huber,42.5,3.9,181
32,Vieilles Vignes Côtes Catalanes Blanc,Vieilles Vignes Côtes Catalanes Blanc 2015,2015,Côtes Catalanes,0,Domaine Gauby,42.5,3.9,361
33,M. de Malle Graves Blanc,M. de Malle Graves Blanc 2005,2005,Graves,0,Château de Malle,42.5,4.0,139
34,Bordeaux Blanc Sec,Bordeaux Blanc Sec 2020,2020,Bordeaux Sec,0,Château Lafaurie-Peyraguey,42.6,3.9,320
35,Santenay Comme-Dessus,Santenay Comme-Dessus 2021,2021,Santenay,0,Domaine Roger Belland,42.66,3.9,391
36,Comme Dessus Santenay,Comme Dessus Santenay 2018,2018,Santenay,0,Domaine Chevrot,42.66,4.0,88
37,El Lebrero,El Lebrero 2020,2020,Castilië en León,0,Callejo,42.68,3.9,723
38,Le Haut de la Roche Pouilly-Fuissé,Le Haut de la Roche Pouilly-Fuissé 2021,2021,Pouilly-Fuissé,0,Jacques & Nathalie Saumaize,42.68,4.1,34
39,Les Romains Sancerre Blanc,Les Romains Sancerre Blanc 2019,2019,Sancerre,0,Alphonse Mellot,42.7,3.9,385
40,Numero Chiuso Vermentino,Numero Chiuso Vermentino 2018,2018,Colli di Luni,0,Lunae,42.88,4.2,887
41,Bin 311 Chardonnay,Bin 311 Chardonnay 2019,2019,Tumbarumba,0,Penfolds,42.88,3.8,3585
42,Praepositus Riesling,Praepositus Riesling 2013,2013,Südtirol - Alto Adige,0,Abbazia di Novacella (Stiftskellerei Neustift),42.9,4.0,1346
43,Puntay Gewürztraminer,Puntay Gewürztraminer 2011,2011,Südtirol - Alto Adige,0,Erste+Neue,42.9,3.9,418
44,Ronceray,Ronceray 2020,2020,Anjou,0,Domaine Belargus,42.9,4.2,511
45,Arbois Savagnin Ouillé,Arbois Savagnin Ouillé 2017,2017,Jura,0,Domaine du Pelican,42.9,4.1,2769
46,Pisé Gavi,Pisé Gavi 2019,2019,Gavi,0,La Raia,42.9,4.0,505
47,Chardonnay,Chardonnay 2020,2020,Menfi,0,Planeta,42.9,4.1,24897
48,Aichberg Weiss,Aichberg Weiss 2016,2016,Südtirol - Alto Adige,0,Kornell,42.9,4.1,284
49,Praepositus Kerner,Praepositus Kerner 2015,2015,Südtirol - Alto Adige,0,Abbazia di Novacella (Stiftskellerei Neustift),42.9,4.0,3297
50,Chablis Premier Cru 'La Fourchaume',Chablis Premier Cru 'La Fourchaume' 2020,2020,Chablis 1er Cru 'Fourchaume',0,Jean-Claude et Romain Bessin-Tremblay,43.0,4.1,703
51,Savigny-lès-Beaune Clos des Guettes Blanc,Savigny-lès-Beaune Clos des Guettes Blanc 2020,2020,Savigny-lès-Beaune Premier Cru,0,Louis Jadot - Domaine Gagey,43.0,4.1,1395
52,Moulin aux Moines Monopole Auxey-Duresses Monopole Blanc,Moulin aux Moines Monopole Auxey-Duresses Monopole Blanc 2020,2020,Auxey-Duresses,0,Clos du Moulin Aux Moines,43.0,4.0,625
53,Chéry,Chéry 2018,2018,Condrieu,0,Domaine Niero,43.0,4.0,515
54,Chablis Premier Cru 'Montmains',Chablis Premier Cru 'Montmains' 2018,2018,Chablis 1er Cru 'Montmains',0,Domaine William Fèvre,43.0,4.0,1970
55,Zellberg Pinot Gris,Zellberg Pinot Gris 2016,2016,Elzas,0,Domaine Ostertag,43.0,4.0,385
